_id,YEAR,CATEGORY,TYPE,COUNT_
487,2023,Crime Guns - Class,Deemed Non-Firearm,122
488,2023,Crime Guns - Class,Antique,2
489,2023,Recovered Firearms,Outside Toronto,8
490,2023,Recovered Firearms,Toronto,3
491,2023,Gun Seizures,Crime,590
492,2023,Gun Seizures,Non-Crime,730
493,2023,Firearm Types Stolen & Recovered,Pistol,8
494,2023,Firearm Types Stolen & Recovered,Shotgun,2
495,2023,Firearm Types Stolen & Recovered,Rifle,1
496,2023,Firearm Thefts - Premise Type,Residence,8
497,2023,Firearm Thefts - Premise Type,Vehicle,1
498,2023,Guns Reported Stolen to TPS,Handgun,27
499,2023,Guns Reported Stolen to TPS,Rifle,3
500,2023,Guns Reported Stolen to TPS,Shotgun,2
